iter	Passed	Remaining
1321	278372	142766
1322	278575	142551
1323	278830	142363
1324	279124	142195
1325	279445	142040
1326	279657	141830
1327	279865	141618
1328	280127	141434
1329	280397	141253
1330	280614	141045
1331	280805	140824
1332	281042	140626
1333	281378	140478
1334	281676	140310
1335	282022	140166
1336	282261	139969
1337	282527	139785
1338	282737	139574
1339	282910	139343
1340	283197	139170
1341	283426	138967
1342	283602	138739
1343	283787	138515
1344	283974	138292
1345	284160	138068
1346	284410	137877
1347	284674	137691
1348	284935	137504
1349	285138	137288
1350	285373	137088
1351	285595	136883
1352	285889	136711
1353	286157	136527
1354	286405	136333
1355	286629	136128
1356	286806	135900
1357	287033	135696
1358	287219	135472
1359	287412	135252
1360	287615	135037
1361	287801	134814
1362	287980	134587
1363	288150	134357
1364	288348	134139
1365	288510	133906
1366	288679	133675
1367	288849	133445
1368	289010	133210
1369	289132	132958
1370	289303	132729
1371	289467	132496
1372	289628	132262
1373	289787	132028
1374	289935	131788
1375	290091	131553
1376	290250	131318
1377	290406	131083
1378	290596	130863
1379	290789	130644
1380	290964	130417
1381	291163	130201
1382	291387	129997
1383	291618	129795
1384	291834	129587
1385	291992	129352
1386	292154	129121
1387	292322	128891
1388	292484	128659
1389	292647	128427
1390	292803	128193
1391	293017	127984
1392	293258	127787
1393	293479	127581
1394	293704	127377
1395	293919	127168
1396	294135	126960
1397	294360	126756
1398	294600	126558
1399	294832	126356
1400	295075	126160
1401	295383	125991
1402	295599	125782
1403	295823	125577
1404	296088	125389
1405	296311	125184
1406	296489	124959
1407	296672	124737
1408	296847	124511
1409	297009	124280
1410	297210	124065
1411	297403	123847
1412	297611	123636
1413	297790	123412
1414	297956	123183
1415	298117	122952
1416	298266	122716
1417	298428	122485
1418	298613	122265
1419	298793	122042
1420	298967	121817
1421	299122	121584
1422	299312	121365
1423	299468	121133
1424	299635	120905
1425	299800	120677
1426	299972	120451
1427	300162	120233
1428	300372	120022
1429	300551	119800
1430	300707	119568
1431	300897	119350
1432	301067	119124
1433	301237	118898
1434	301395	118667
1435	301583	118449
1436	301762	118227
1437	301953	118009
1438	302123	117783
1439	302293	117558
1440	302477	117338
1441	302665	117120
1442	302872	116909
1443	303057	116689
1444	303206	116456
1445	303368	116228
1446	303531	116000
1447	303708	115778
1448	303891	115558
1449	304056	115331
1450	304210	115101
1451	304369	114872
1452	304539	114647
1453	304691	114416
1454	304848	114187
1455	305009	113959
1456	305159	113728
1457	305315	113498
1458	305467	113267
1459	305617	113036
1460	305764	112804
1461	305924	112576
1462	306102	112356
1463	306256	112126
1464	306409	111897
1465	306590	111677
1466	306776	111460
1467	306923	111228
1468	307067	110995
1469	307229	110769
1470	307404	110548
1471	307600	110335
1472	307759	110108
1473	307911	109878
1474	308105	109664
1475	308323	109458
1476	308486	109233
1477	308652	109009
1478	308836	108792
1479	309065	108590
1480	309283	108385
1481	309573	108204
1482	309853	108020
1483	310124	107832
1484	310423	107655
1485	310553	107419
1486	310727	107197
1487	310943	106991
1488	311133	106775
1489	311358	106572
1490	311581	106368
1491	311840	106176
1492	312144	105999
1493	312456	105825
1494	312819	105667
1495	313106	105485
1496	313437	105316
1497	313685	105120
1498	313907	104915
1499	314102	104700
1500	314365	104509
1501	314826	104383
1502	315193	104225
1503	315534	104059
1504	315901	103901
1505	316211	103724
1506	316468	103529
1507	316728	103335
1508	317008	103148
1509	317320	102971
1510	317601	102784
1511	318005	102636
1512	318329	102462
1513	318650	102288
1514	318904	102091
1515	319266	101929
1516	319647	101773
1517	319950	101591
1518	320178	101386
1519	320508	101213
1520	320762	101015
1521	321003	100814
1522	321217	100604
1523	321433	100395
1524	321676	100194
1525	321887	99983
1526	322173	99795
1527	322462	99608
1528	322675	99398
1529	323796	99466
1530	324383	99370
1531	324820	99227
1532	325083	99030
1533	325507	98883
1534	325823	98702
1535	326131	98518
1536	326453	98339
1537	326757	98154
1538	327013	97955
1539	327256	97751
1540	327510	97551
1541	327758	97349
1542	328014	97149
1543	328248	96943
1544	328464	96732
1545	328666	96516
1546	328871	96301
1547	329091	96091
1548	329343	95890
1549	329593	95688
1550	329810	95476
1551	330046	95271
1552	330273	95062
1553	330643	94895
1554	330863	94684
1555	331077	94472
1556	331315	94266
1557	331524	94052
1558	331727	93837
1559	332087	93665
1560	332392	93478
1561	332702	93292
1562	333199	93159
1563	333621	93004
1564	334051	92851
1565	334347	92660
1566	334550	92444
1567	334778	92234
1568	335012	92026
1569	335288	91830
1570	335616	91648
1571	335829	91434
1572	336067	91227
1573	336304	91020
1574	336700	90855
1575	337037	90675
1576	337348	90487
1577	337633	90292
1578	337999	90119
1579	338247	89913
1580	338491	89707
1581	338771	89511
1582	339031	89309
1583	339392	89133
1584	339772	88962
1585	340093	88776
1586	340555	88625
1587	341049	88483
1588	341312	88281
1589	341559	88075
1590	341808	87869
1591	342144	87685
1592	342635	87540
1593	342934	87347
1594	343198	87144
1595	343473	86944
1596	343764	86748
1597	344127	86570
1598	344466	86385
1599	344808	86202
1600	345137	86015
1601	345528	85842
1602	345960	85680
1603	346308	85497
1604	346546	85287
1605	346800	85080
1606	347029	84867
1607	347257	84654
1608	347525	84451
1609	347952	84286
1610	348318	84106
1611	348579	83901
1612	348792	83684
1613	349097	83489
1614	349405	83294
1615	349855	83133
1616	350044	82911
1617	350309	82705
1618	350622	82512
1619	351089	82354
1620	351522	82188
1621	351876	82003
1622	352173	81804
1623	352509	81615
1624	352806	81416
1625	353106	81218
1626	353362	81010
1627	353595	80796
1628	353754	80566
1629	353926	80339
1630	354195	80133
1631	354384	79910
1632	354638	79701
1633	354806	79473
1634	354991	79248
1635	355178	79025
1636	355392	78807
1637	355601	78588
1638	355890	78387
1639	356135	78176
1640	356394	77968
1641	356688	77767
1642	357207	77616
1643	357664	77450
1644	357988	77255
1645	358251	77048
1646	358514	76839
1647	358721	76620
1648	359112	76439
1649	359436	76244
1650	359747	76045
1651	360048	75845
1652	360322	75639
1653	360516	75416
1654	360873	75227
1655	361189	75029
1656	361407	74811
